District Area,Gross Area,Saleable Area,Lease Price,Page Number
North Point,150,140,6800,1
Yau Tong,,352,15000,1
Tai Kok Tsui,,280,5000,1
Tai Kok Tsui,,257,13000,1
Hung Shui Kiu,,451,12300,1
Tin Shui Wai,824,636,13800,1
Tung Chung,,471,15000,1
Shaukeiwan,,1055,44000,1
Tung Chung,,1717,55000,1
Ma Wan,736,570,17500,1
Yau Ma Tei,,660,31800,1
Sai Ying Pun,,320,19000,1
Western Mid-levels,,1732,128000,1
Ma Wan,,537,15500,1
Tsuen Wan,,384,15000,1
Ma Wan,678,523,15000,2
Tsuen Wan,,348,18000,2
Tsing Yi,,368,12000,2
Lohas Park District,,307,13300,2
Ma Wan,,366,12400,2
To Kwa Wan,,258,14000,2
Wan Chai,,250,14800,2
Yuen Long,700,600,9300,2
North Point,150,126,6300,2
Tai Wai,1273,,3300,2
Sai Ying Pun,150,120,5900,2
Tsing Yi,,202,11800,2
Cheung Sha Wan,,790,37000,2
Tsing Yi,,463,16000,2
Sheung Wan,,419,22000,2
Ma Wan,706,537,15500,3
Tai Po,,100,4300,3
Tsing Yi,,538,19800,3
Kai Tak,,486,23000,3
Ho Man Tin,,160,8500,3
Tsim Sha Tsui,,170,8000,3
Tsing Yi,1041,778,26800,3
Yuen Long,,381,12200,3
Olympic,609,457,18800,3
Kennedy Town,,315,22000,3
Fortress Hill,,230,9800,3
To Kwa Wan,,303,15500,3
Yuen Long,,440,10500,3
Ma Wan,742,583,17000,3
Tin Shui Wai,,446,12000,3
Ma Wan,,718,25000,4
Tin Shui Wai,,550,13000,4
Yuen Long,609,460,12800,4
Ma Wan,,1418,39000,4
Kowloon Tong,,1732,68000,4
Causeway Bay,,1112,45000,4
Tsing Yi,656,523,21000,4
Ma Wan,,598,17000,4
Shek Tong Tsui,,339,15000,4
Sheung Wan,,354,20000,4
Ma Wan,694,531,13000,4
Tai Kok Tsui,,320,15000,4
Tai Wai,1273,1080,5500,4
Ma Wan,735,575,17500,4
Tsing Yi,,666,23500,4
Tsuen Wan,511,445,14500,5
Yuen Long,2100,,38000,5
Tsing Yi,687,499,18600,5
Sham Shui Po,,250,11800,5
Sham Shui Po,,150,4200,5
Ma Wan,,520,16800,5
Tai Po,1400,,25800,5
Mei Foo,883,664,21000,5
Quarry Bay,,264,10800,5
Wan Chai,,427,15500,5
Tsing Yi,,653,25500,5
Tsing Yi,,703,22800,5
North Point,260,230,11800,5
Aberdeen,342,236,10900,5
Ma Wan,735,575,17500,5
Cheung Sha Wan,388,246,12800,6
Tsing Yi,,368,12000,6
Tsing Yi,,501,16000,6
Tai Po,,1774,59000,6
Shatin,925,670,20000,6
Wan Chai,,364,19000,6
Cheung Sha Wan,,790,36000,6
Nam Cheong,,352,18500,6
Sheung Wan,430,330,16800,6
Tsing Yi,478,368,12500,6
Sai Ying Pun,,399,18800,6
Tin Shui Wai,,80,3980,6
Shaukeiwan,,462,14800,6
Tsing Yi,,512,18500,6
Kwun Tong,,120,4000,6
Ma Wan,1001,781,22180,7
Yuen Long,,674,15500,7
To Kwa Wan,,258,14800,7
Tsing Yi,,670,23900,7
Tsing Yi,,538,17800,7
Tsing Yi,,666,24800,7
Ma Wan,653,490,13500,7
Sham Shui Po,,180,7000,7
Ma Wan,,843,22000,7
Tsing Yi,,207,12000,7
Quarry Bay,474,391,14500,7
Hung Hom,,200,7500,7
Tsing Yi,,328,11800,7
Tsing Yi,,499,19000,7
Tsing Yi,,653,26000,7
Tuen Mun Castle Peak Road,700,535,14800,8
Tuen Mun Castle Peak Road,1138,875,24800,8
Tuen Mun Castle Peak Road,888,685,15800,8
Tsing Yi,,368,11900,8
Kai Tak,,642,26000,8
Tsing Yi,,343,13000,8
Tsing Yi,,343,12800,8
Tsing Yi,,343,13600,8
Tsing Yi,,451,14500,8
Tsing Yi,,690,17200,8
Tung Chung,,896,25000,8
Tsing Yi,,538,19000,8
Tsing Yi,,471,16000,8
Tung Chung,,899,25500,8
Tai Wai,1275,958,5500,8
Tung Chung,,563,16500,9
Tsing Yi,,499,18500,9
Tsing Yi,,202,12500,9
Ma Wan,,794,24000,9
Tsing Yi,,256,16000,9
Cheung Sha Wan,,332,18000,9
Cheung Sha Wan,,408,19000,9
Mong Kok,,312,16000,9
Nam Cheong,,362,18000,9
Wan Chai,,439,22000,9
Shaukeiwan,,527,23500,9
Mong Kok,70,70,3000,9
Ma Wan,653,490,13300,9
Causeway Bay,,230,10800,9
Ma Wan,488,360,13800,9
Mong Kok,,100,5100,10
Ma Wan,,781,22300,10
Ma Wan,,490,13500,10
